date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986745344,1.0000000014557477,46303774477
2024-12-25,1.0,0.9999999984962594,1.0000000015796637,46303774477
2024-12-26,1.0,0.9999999982022851,1.000000001955692,46303774477
2024-12-27,1.0,0.9999999975233652,1.0000000023679578,46303774477
2024-12-28,1.0,0.9999999963252448,1.0000000041041401,46303774477
2024-12-29,1.0,0.999999994845305,1.0000000054939109,46303774477
2024-12-30,1.0,0.9999999930828268,1.0000000077830273,46303774477
2024-12-31,1.0,0.9999999903675513,1.0000000103805504,46303774477
2025-01-01,1.0,0.9999999889038126,1.0000000117707801,46303774477
2025-01-02,1.0,0.9999999864098017,1.000000014407736,46303774477
2025-01-03,1.0,0.9999999839747112,1.0000000174115538,46303774477
2025-01-04,1.0,0.9999999815342598,1.0000000197136236,46303774477
2025-01-05,1.0,0.999999978433946,1.0000000227450097,46303774477
2025-01-06,1.0,0.9999999759512331,1.0000000254655632,46303774477
2025-01-07,1.0,0.999999973137,1.0000000279777332,46303774477
2025-01-08,1.0,0.9999999685224287,1.0000000316964728,46303774477
2025-01-09,1.0,0.9999999665678917,1.0000000354802772,46303774477
2025-01-10,1.0,0.9999999630005677,1.0000000390672383,46303774477
2025-01-11,1.0,0.9999999611703255,1.0000000425855886,46303774477
2025-01-12,1.0,0.9999999584100778,1.0000000455995135,46303774477
2025-01-13,1.0,0.9999999554950983,1.0000000502809465,46303774477
2025-01-14,1.0,0.9999999512083777,1.00000005293245,46303774477
2025-01-15,1.0,0.9999999482073108,1.0000000569708394,46303774477
2025-01-16,1.0,0.9999999446018435,1.000000060548333,46303774477
2025-01-17,1.0,0.9999999402278094,1.0000000615113633,46303774477
2025-01-18,1.0,0.9999999373014263,1.0000000659439237,46303774477
2025-01-19,1.0,0.9999999332061829,1.0000000699588965,46303774477
2025-01-20,1.0,0.9999999296925215,1.0000000748311617,46303774477
2025-03-04,1.9999996656589085,1.9999996656573387,1.999999665660389,46303862950
2025-03-05,1.9999996656589087,1.999999665657395,1.99999966566045,46303862950
2025-03-06,1.9999996656589092,1.9999996656574313,1.9999996656606072,46303862950
2025-03-07,1.9999996656589094,1.999999665657049,1.999999665660826,46303862950
2025-03-08,1.9999996656589096,1.9999996656570556,1.9999996656611867,46303862950
2025-03-09,1.99999966565891,1.9999996656564838,2.0000060619917472,46303862950
2025-03-10,1.9999996656589103,1.9999770181258119,2.000030284541984,46303862950
2025-03-11,1.9999996656589105,1.999924912779176,2.0000712536028,46303862950
2025-03-12,1.9999996656589107,1.999865829268852,2.0001116594991015,46303862950
2025-03-13,1.9999996656589112,1.9998142099117968,2.00020772723968,46303862950
2025-03-14,1.9999996656589114,1.9997588015949896,2.000270697680393,46303862950
2025-03-15,1.9999996656589116,1.9996894266333038,2.000309609616398,46303862950
2025-03-16,1.9999996656589119,1.9995832126523538,2.0004179034339296,46303862950
2025-03-17,1.9999996656589123,1.9994417956364636,2.0005148701667133,46303862950
2025-03-18,1.9999996656589125,1.9993138986214964,2.0006054393726846,46303862950
2025-03-19,1.9999996656589127,1.9991936656535392,2.000720420446712,46303862950
2025-03-20,1.9999996656589132,1.999066178664339,2.0008437081980275,46303862950
2025-03-21,1.9999996656589134,1.9989383041972968,2.0009682455084667,46303862950
2025-03-22,1.9999996656589136,1.9987289830980184,2.001093336725624,46303862950
2025-03-23,1.9999996656589138,1.9985875045850912,2.0012006285384274,46303862950
2025-03-24,1.9999996656589143,1.9984992304711466,2.0013216851254962,46303862950
2025-03-25,1.9999996656589145,1.99832773393564,2.0014824795318864,46303862950
2025-03-26,1.9999996656589147,1.9981148001003233,2.001624814404746,46303862950
2025-03-27,1.999999665658915,1.9979967474854554,2.0017868441606073,46303862950
2025-03-28,1.9999996656589154,1.99786400812822,2.0019398670799187,46303862950
2025-03-29,1.9999996656589156,1.997643868407419,2.00208523038771,46303862950
2025-03-30,1.9999996656589158,1.9974643121102738,2.00225029669227,46303862950
2025-03-31,1.9999996656589163,1.9973265848454484,2.002388122957721,46303862950
2025-03-04,5.434594712288739,1.3358342154894625,9.478489763539931,46303877432
2025-03-05,4.865590756422694,0.18773946608205963,9.107055308568164,46303877432
2025-03-06,4.296586800556636,0.3282918619017714,8.148733023563295,46303877432
2025-03-07,3.727582844690591,-0.4524433702543151,7.761069184476976,46303877432
2025-03-08,3.1585788888245467,-0.7314421198129935,7.24006658027009,46303877432
2025-03-09,2.5895749329585023,-1.5879295804068183,6.843321192946664,46303877432
2025-03-10,2.020570977092458,-2.544814243646227,6.084243734970545,46303877432
2025-03-11,1.4515670212264133,-2.847000572612464,5.277728163972602,46303877432
2025-03-12,0.8825630653603618,-3.140145108333316,4.901556974763633,46303877432
2025-03-13,0.3135591094943173,-3.7892572439581547,4.217105925597394,46303877432
2025-03-14,-0.25544484637172715,-4.446798928303896,3.9208022146116663,46303877432
2025-03-15,-0.8244488022377716,-4.99372338910611,3.32868402117188,46303877432
2025-03-16,-1.393452758103816,-5.377347232321301,2.838314772244498,46303877432
2025-03-17,-1.9624567139698605,-6.046645504331629,1.8798148236823824,46303877432
2025-03-18,-2.531460669835919,-6.720411729795708,1.846540627955728,46303877432
2025-03-19,-3.1004646257019637,-7.5371946815085336,1.367909299511115,46303877432
2025-03-20,-3.669468581568008,-7.771919769971807,0.3696489603653788,46303877432
2025-03-21,-4.238472537434053,-8.012032149939817,-0.3270933224034447,46303877432
2025-03-22,-4.807476493300097,-9.147315801856237,-0.48614309465254696,46303877432
